start_year,buy_day,years,dca_cagr,dca_final,dca_maxdd,drop_pct,hyb_cagr,hyb_final,hyb_maxdd,hyb_events,diff_cagr,winner
2000,28,25.760438056125942,0.05592933512961329,1259522.4721098584,0.48718467256925235,0.25,0.05515541984644523,1235956.6794334715,0.4157798685320235,4,-0.0007739152831680585,DCA
2000,28,25.760438056125942,0.05592933512961329,1259522.4721098584,0.48718467256925235,0.3,0.056282712281064295,1270425.902833428,0.3981593627299976,3,0.00035337715145100645,HYBRID
2005,1,20.758384668035593,0.06363327248220574,899698.2473991713,0.3919793457368699,0.05,0.06130689127407685,859720.1362790149,0.3365588259710564,21,-0.0023263812081288915,DCA
2005,1,20.758384668035593,0.06363327248220574,899698.2473991713,0.3919793457368699,0.1,0.060010680769935876,838184.7079655253,0.335059929700297,7,-0.0036225917122698625,DCA
2005,1,20.758384668035593,0.06363327248220574,899698.2473991713,0.3919793457368699,0.15,0.05931197796808374,826790.3482450723,0.3464881865138479,5,-0.004321294514121998,DCA
2005,1,20.758384668035593,0.06363327248220574,899698.2473991713,0.3919793457368699,0.2,0.06037269182954175,844146.9666095058,0.3645837487982127,3,-0.0032605806526639913,DCA
2005,1,20.758384668035593,0.06363327248220574,899698.2473991713,0.3919793457368699,0.25,0.06125239831627849,858804.2748461607,0.3640661564773365,3,-0.002380874165927249,DCA
2005,1,20.758384668035593,0.06363327248220574,899698.2473991713,0.3919793457368699,0.3,0.06239098828033751,878134.9062484979,0.3111343358734044,2,-0.0012422842018682267,DCA
2005,5,20.758384668035593,0.06358365892909679,898827.4868846112,0.3898225629645504,0.05,0.061259229082101685,858919.0283833215,0.336536868432852,21,-0.002324429846995102,DCA
2005,5,20.758384668035593,0.06358365892909679,898827.4868846112,0.3898225629645504,0.1,0.059976826463070676,837629.1876426557,0.33503753917109763,7,-0.003606832466026111,DCA
2005,5,20.758384668035593,0.06358365892909679,898827.4868846112,0.3898225629645504,0.15,0.059268385395515155,826084.354231482,0.34543602953109,5,-0.004315273533581632,DCA
2005,5,20.758384668035593,0.06358365892909679,898827.4868846112,0.3898225629645504,0.2,0.060338955306225905,843589.6308475953,0.36309334468487914,3,-0.0032447036228708814,DCA
2005,5,20.758384668035593,0.06358365892909679,898827.4868846112,0.3898225629645504,0.25,0.0612189463916093,858242.5095027193,0.36328390497496377,3,-0.00236471253748749,DCA
2005,5,20.758384668035593,0.06358365892909679,898827.4868846112,0.3898225629645504,0.3,0.06235790345078618,877567.4064498466,0.30799382168277,2,-0.0012257554783106084,DCA
2005,10,20.758384668035593,0.06361149561281376,899315.9457945362,0.3913640484750532,0.05,0.06125336504078738,858820.514460296,0.33641800306234043,21,-0.0023581305720263845,DCA
2005,10,20.758384668035593,0.06361149561281376,899315.9457945362,0.3913640484750532,0.1,0.059982271556892064,837718.5133357197,0.3349917097355148,7,-0.003629224055921698,DCA
2005,10,20.758384668035593,0.06361149561281376,899315.9457945362,0.3913640484750532,0.15,0.05924635701954584,825727.8167435827,0.339079831198161,5,-0.004365138593267925,DCA
